occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
1.0,0.129,0.129,0.0,0.0,0.0,0.0,0.338,0.53,0.53,0.0,0.0,0.0,0,0
1.0,0.129,0.129,0.0,0.0,0.0,0.0,0.338,0.53,0.53,0.0,0.0,0.0,0,0
1.0,0.129,0.129,0.0,0.0,0.0,0.0,0.338,0.53,0.53,0.0,0.0,0.0,0,0
1.0,0.129,0.129,0.0,0.0,0.0,0.0,0.338,0.53,0.53,0.0,0.0,0.0692,0,0
1.0,0.306,0.306,0.4,0.0,0.0,0.0,0.388,0.669,0.669,0.0,0.0,0.0231,0,0
1.0,0.306,0.306,0.6,0.0,0.0,0.0,0.388,0.669,0.669,0.0,0.0,0.0,0,0
1.0,0.392,0.392,0.0,0.533,0.0,0.0,0.432,0.737,0.737,0.0,0.0,0.214,0,0
1.0,0.392,0.392,0.0,1.0,0.733,0.0,0.432,0.737,0.737,0.0,0.0,0.0,0,0
1.0,0.491,0.491,0.0,1.0,1.0,0.0,0.322,0.806,0.806,0.0,0.0,0.0688,0,0
1.0,0.491,0.491,0.0,1.0,1.0,0.0,0.322,0.806,0.806,0.273,0.258,0.0458,0,0
1.0,0.491,0.491,0.0,1.0,1.0,0.0,0.322,0.806,0.806,0.654,0.0,0.0,0,0
1.0,0.491,0.491,0.0,0.867,1.0,0.0,0.322,0.806,0.806,0.455,0.0,0.0,0,0
1.0,0.477,0.477,0.0,0.0,0.0667,0.0,0.336,0.806,0.806,0.242,0.449,0.0,0,0
1.0,0.477,0.477,0.0,0.0,0.0,0.0,0.336,0.806,0.806,0.0,0.229,0.0,0,0
0.8,0.392,0.392,0.0,0.0,0.0,0.267,0.32,0.737,0.737,0.363,0.185,0.0773,0,0
0.6,0.306,0.306,0.0,0.0,0.0,1.0,0.304,0.669,0.669,0.734,0.296,0.309,0,0
0.6,0.295,0.295,0.0,0.0,0.0,1.0,0.313,0.681,0.681,0.23,0.22,0.0773,0,0
0.6,0.295,0.295,0.0,0.0,0.0,1.0,0.313,0.681,0.681,0.613,0.127,0.0773,0,0
0.6,0.295,0.295,0.0,0.0,0.0,0.0,0.313,0.681,0.681,0.0,0.111,0.0773,0,0
0.6,0.295,0.295,0.0,0.0,0.0,0.0,0.313,0.681,0.681,0.219,0.347,0.309,0,0
0.4,0.208,0.208,0.0,0.0,0.0,0.0,0.289,0.616,0.616,0.645,0.229,0.0773,0,0
0.4,0.208,0.208,0.0,0.0,0.0,0.0,0.289,0.616,0.616,0.375,0.137,0.0,0,0
0.4,0.208,0.208,0.0,0.0,0.0,0.0,0.289,0.616,0.616,0.0,0.42,0.0,0,0
0.4,0.208,0.208,0.0,0.0,0.0,0.0,0.289,0.616,0.616,0.0,0.561,0.0,0,0
0.2,0.128,0.128,0.0,0.0,0.0,0.0,0.284,0.541,0.541,0.0,0.0,0.0,0,0
0.4,0.206,0.206,0.4,0.0,0.0,0.0,0.311,0.616,0.616,0.0,0.0,0.0,0,0
0.4,0.206,0.206,1.0,0.0,0.0,0.0,0.311,0.616,0.616,0.0,0.0,0.0773,0,0
